Player,Pos,3P,TRB,AST,STL,BLK,TOV,PTS,G
Dorka Juhasz,F,0.3,4.6,1.6,0.6,0.5,0.8,5.3,36
Natisha Hiedeman,G,0.8,1.7,2.6,0.8,0.1,1.2,5.8,39
Michaela Onyenwere,F,0.8,2.6,1.2,0.7,0.4,1.4,7,36
Naz Hillmon,F,0,4.4,1.2,0.6,0.2,1.1,5.2,39
Sevgi Uzun,G,0.6,1.9,2.8,0.9,0.4,1.9,4.8,38
Brianna Turner,F,0,4.6,1.5,0.7,0.8,0.9,3.9,37
Kiah Stokes,F,0.2,5.6,0.7,0.7,1.1,0.6,2.1,39
Tyasha Harris,G,0.7,1.3,2.8,0.6,0.2,1.2,5.5,39
Kalani Brown,F,0,3.7,1.1,0.2,0.7,1.3,6.4,35
Nia Coffey,F,0.7,3.1,1.5,0.4,0.9,1.2,4.9,35
Emily Engstler,F,0.6,4.2,1.4,0.6,0.9,0.9,5.1,31
Lexie Brown,G,1.8,2.4,3.1,1.1,0.2,1.7,10.1,22
Temi Fagbenle,F,0.1,5.3,1.1,0.4,0.6,1.5,6.9,28
Georgia Amoore,G,0.7,1.5,2.8,0.6,0.1,1.5,5.8,35
Saniya Rivers,G,0.1,3.2,2.1,0.6,0.4,1.1,4.7,34
Megan Gustafson,F,0.5,3.4,0.5,0.3,0.2,0.9,5.6,37
Stephanie Talbot,F,0.6,2.5,1.7,0.6,0.4,1.1,4.4,36
Haley Jones,G,0.2,2.4,2.2,0.4,0.3,1.6,4,39
Juste Jocyte,G,1.2,2.2,2.3,0.5,0,1.7,7.5,28
Katie Lou Samuelson,F,1,2.4,1.5,0.4,0.2,0.7,5.1,35
Mercedes Russell,F,0,3.5,1.1,0.5,0.4,1.2,4.3,37
Sarah Ashlee Barker,G,0.4,2.5,1.4,1.1,0.3,1.3,5.4,31
Lexie Hull,G,0.7,2.7,1.1,0.8,0.3,0.9,5,32
Hailey Van Lith,G,0.4,1.6,12.8,0.6,0.2,1.2,5.1,33
